Rank(w), Word, Freq(w), r*P(w), log(r), log(Freq(w)) 
138,CHAPTER,150,0.1204398673415954,2.1398790864012365,2.1760912590556813,
139,white,150,0.12131262000349101,2.143014800254095,2.1760912590556813,
140,us,147,0.1197416652120789,2.146128035678238,2.167317334748176,
141,without,145,0.11895618781637284,2.1492191126553797,2.161368002234975,
142,go,143,0.11814743701634957,2.1522883443830563,2.155336037465062,
143,sort,139,0.1156513644033281,2.155336037465062,2.143014800254095,
144,sea,139,0.11646011520335137,2.1583624920952498,2.143014800254095,
145,head,138,0.11642520509687554,2.161368002234975,2.1398790864012365,
146,here,137,0.11637865828824111,2.164352855784437,2.1367205671564067,
147,cried,137,0.11717577238610578,2.167317334748176,2.1367205671564067,
148,himself,135,0.11625065456449642,2.1702617153949575,2.130333768495006,
149,whales,133,0.11530226333856985,2.173186268412274,2.123851640967086,
150,thing,132,0.11520335137022168,2.1760912590556813,2.12057393120585,
151,against,130,0.11421423168673998,2.1789769472931693,2.113943352306837,
152,Sperm,129,0.11408622796299529,2.1818435879447726,2.110589710299249,
153,thought,127,0.11305637982195846,2.184691430817599,2.103803720955957,
154,whole,126,0.11289928434281725,2.187520720836463,2.100370545117563,
155,well,126,0.11363239657880957,2.1903316981702914,2.100370545117563,
156,each,125,0.11345784604643044,2.1931245983544616,2.0969100130080562,
157,Whale,125,0.11418513993134345,2.1958996524092336,2.0969100130080562,
158,boat,125,0.11491243381625647,2.1986570869544226,2.0969100130080562,
159,A,125,0.1156397277011695,2.2013971243204513,2.0969100130080562,
160,once,122,0.11357421306801653,2.2041199826559246,2.0863598306747484,
161,came,120,0.1124105428521557,2.2068258760318495,2.0791812460476247,
162,seen,119,0.11216617210682493,2.2095150145426308,2.0755469613925306,
163,part,118,0.11191016465933555,2.2121876044039577,2.0718820073061255,
164,come,118,0.11259673008669344,2.214843848047698,2.0718820073061255,
165,till,117,0.11232326758596614,2.2174839442139063,2.0681858617461617,
166,take,116,0.11203816838308024,2.220108088040055,2.0644579892269186,
167,away,115,0.11174143247803572,2.2227164711475833,2.060697840353612,
168,As,114,0.1114330598708326,2.225309281725863,2.0569048513364727,
169,know,114,0.11209635189387328,2.2278867046136734,2.0569048513364727,
170,under,110,0.10880316518298715,2.230448921378274,2.041392685158225,
171,men,109,0.10844824576714959,2.2329961103921536,2.037426497940624,
