Name of Restaurant, City, Country Code, Day of Week, Start Time, End Time
38 Espresso,Kingston,AU,2,07:00am,07:00am
38 Espresso,Kingston,AU,3,07:00am,07:00am
38 Espresso,Kingston,AU,4,07:00am,07:00am
38 Espresso,Kingston,AU,5,07:00am,07:00am
38 Espresso,Kingston,AU,6,08:00am,08:00am
+39 Pizzeria,Melbourne,AU,0,0:00pm,0:00pm
+39 Pizzeria,Melbourne,AU,0,5:00pm,5:00pm
+39 Pizzeria,Melbourne,AU,1,0:00pm,0:00pm
+39 Pizzeria,Melbourne,AU,1,5:00pm,5:00pm
+39 Pizzeria,Melbourne,AU,2,0:00pm,0:00pm
+39 Pizzeria,Melbourne,AU,2,5:00pm,5:00pm
+39 Pizzeria,Melbourne,AU,3,0:00pm,0:00pm
+39 Pizzeria,Melbourne,AU,3,5:00pm,5:00pm
+39 Pizzeria,Melbourne,AU,4,0:00pm,0:00pm
+39 Pizzeria,Melbourne,AU,5,0:00pm,0:00pm
+39 Pizzeria,Melbourne,AU,6,0:00pm,0:00pm
3rd Cousin,San Francisco,US,1,5:30pm,5:30pm
3rd Cousin,San Francisco,US,2,5:30pm,5:30pm
3rd Cousin,San Francisco,US,3,5:30pm,5:30pm
3rd Cousin,San Francisco,US,4,5:30pm,5:30pm
3rd Cousin,San Francisco,US,5,5:30pm,5:30pm
45 Jermyn St,London,GB,0,07:00am,07:00am
45 Jermyn St,London,GB,1,07:00am,07:00am
45 Jermyn St,London,GB,2,07:00am,07:00am
45 Jermyn St,London,GB,3,07:00am,07:00am
45 Jermyn St,London,GB,4,07:00am,07:00am
45 Jermyn St,London,GB,5,08:00am,08:00am
45 Jermyn St,London,GB,6,08:00am,08:00am
4Fourteen,Surry Hills,AU,1,0:00pm,0:00pm
4Fourteen,Surry Hills,AU,1,6:00pm,6:00pm
4Fourteen,Surry Hills,AU,2,0:00pm,0:00pm
4Fourteen,Surry Hills,AU,2,6:00pm,6:00pm
4Fourteen,Surry Hills,AU,3,0:00pm,0:00pm
4Fourteen,Surry Hills,AU,3,6:00pm,6:00pm
4Fourteen,Surry Hills,AU,4,0:00pm,0:00pm
4Fourteen,Surry Hills,AU,4,6:00pm,6:00pm
4Fourteen,Surry Hills,AU,5,0:00pm,0:00pm
4Fourteen,Surry Hills,AU,5,6:00pm,6:00pm
4Fourteen,Surry Hills,AU,6,0:00pm,0:00pm
